early_window_s,label,target_mean_bilateral_hz,no_target_mean_bilateral_hz,delta_target_minus_no_target_hz,target_max_bilateral_hz
0.05,DNae002,10.416666030883789,0.0,10.416666030883789,249.99998474121094
0.05,DNb01,0.0,0.0,0.0,0.0
0.05,DNb09,20.833332061767578,20.833332061767578,0.0,249.99998474121094
0.05,DNg97,10.416666030883789,0.0,10.416666030883789,249.99998474121094
0.05,DNp06,0.0,0.0,0.0,0.0
0.05,DNp09,0.0,0.0,0.0,0.0
0.05,DNp103,20.833332061767578,20.833332061767578,0.0,499.9999694824219
0.05,DNp18,0.0,0.0,0.0,0.0
0.05,DNp35,31.249998092651367,31.249998092651367,0.0,499.9999694824219
0.05,DNp43,0.0,0.0,0.0,0.0
0.05,DNp69,0.0,0.0,0.0,0.0
0.05,DNp71,0.0,0.0,0.0,0.0
0.05,DNpe016,0.0,0.0,0.0,0.0
0.05,DNpe031,0.0,0.0,0.0,0.0
0.05,DNpe040,0.0,0.0,0.0,0.0
0.05,DNpe056,0.0,0.0,0.0,0.0
0.1,DNae002,20.40816201969069,15.306121514768016,5.102040504922673,249.99998474121094
0.1,DNb01,5.102040504922672,0.0,5.102040504922672,249.99998474121094
0.1,DNb09,10.204081009845344,15.306121514768016,-5.102040504922671,249.99998474121094
0.1,DNg97,10.204081009845344,0.0,10.204081009845344,249.99998474121094
0.1,DNp06,0.0,0.0,0.0,0.0
0.1,DNp09,0.0,0.0,0.0,0.0
0.1,DNp103,10.204081009845344,20.40816201969069,-10.204081009845344,499.9999694824219
0.1,DNp18,5.102040504922672,5.102040504922672,0.0,249.99998474121094
0.1,DNp35,15.306121514768016,15.306121514768016,0.0,499.9999694824219
0.1,DNp43,0.0,0.0,0.0,0.0
0.1,DNp69,0.0,0.0,0.0,0.0
0.1,DNp71,0.0,0.0,0.0,0.0
0.1,DNpe016,0.0,0.0,0.0,0.0
0.1,DNpe031,0.0,0.0,0.0,0.0
0.1,DNpe040,0.0,0.0,0.0,0.0
0.1,DNpe056,0.0,0.0,0.0,0.0
0.2,DNae002,17.499998931884765,12.499999237060546,4.9999996948242185,249.99998474121094
0.2,DNb01,4.9999996948242185,0.0,4.9999996948242185,249.99998474121094
0.2,DNb09,4.9999996948242185,9.999999389648437,-4.9999996948242185,249.99998474121094
0.2,DNg97,22.499998626708983,19.999998779296874,2.4999998474121092,249.99998474121094
0.2,DNp06,0.0,0.0,0.0,0.0
0.2,DNp09,0.0,0.0,0.0,0.0
0.2,DNp103,24.999998474121092,39.99999755859375,-14.999999084472655,499.9999694824219
0.2,DNp18,2.4999998474121092,9.999999389648437,-7.499999542236328,249.99998474121094
0.2,DNp35,9.999999389648437,12.499999237060546,-2.4999998474121092,499.9999694824219
0.2,DNp43,0.0,0.0,0.0,0.0
0.2,DNp69,0.0,0.0,0.0,0.0
0.2,DNp71,2.4999998474121092,0.0,2.4999998474121092,249.99998474121094
0.2,DNpe016,2.4999998474121092,0.0,2.4999998474121092,249.99998474121094
0.2,DNpe031,0.0,2.4999998474121092,-2.4999998474121092,0.0
0.2,DNpe040,4.9999996948242185,9.999999389648437,-4.9999996948242185,249.99998474121094
0.2,DNpe056,0.0,0.0,0.0,0.0
