label,target_mean_bilateral_hz,target_mean_abs_asym_hz,no_target_mean_bilateral_hz,no_target_mean_abs_asym_hz,delta_bilateral_target_minus_no_target_hz,delta_abs_asym_target_minus_no_target_hz,corr_bilateral_vs_target_frontalness,corr_bilateral_vs_forward_speed,corr_bilateral_vs_total_drive,corr_asym_vs_target_bearing,corr_asym_vs_yaw_rate,target_left_mean_hz,target_right_mean_hz,no_target_left_mean_hz,no_target_right_mean_hz
DNpe016,7.749999526977539,15.499999053955078,0.0,0.0,7.749999526977539,15.499999053955078,-0.024853554579596163,0.029199193470818424,-0.008052362949405218,-0.1273629978708568,-0.05899837608241891,0.9999999389648437,14.499999114990235,0.0,0.0
DNae002,11.249999313354492,22.499998626708983,5.499999664306641,10.999999328613281,5.749999649047851,11.499999298095702,-0.031488686886420106,0.01410597396016486,0.003623555772343131,0.009957496172616265,-0.024672710269661193,0.9999999389648437,21.499998687744142,0.49999996948242187,10.49999935913086
DNp71,8.999999450683594,17.99999890136719,4.499999725341797,8.999999450683594,4.499999725341797,8.999999450683594,0.0022644861782154446,0.021645098554305367,0.042856000835737276,0.16107641222103136,0.028955723260298334,7.99999951171875,9.999999389648437,0.0,8.999999450683594
DNpe040,15.9999990234375,29.99999816894531,13.24999919128418,25.499998443603516,2.7499998321533194,4.4999997253417945,0.08414214319247712,0.014553435226793018,0.10108807891313232,0.14354387359392784,0.04279003435440296,18.49999887084961,13.49999917602539,4.9999996948242185,21.499998687744142
DNpe056,1.9999998779296875,3.999999755859375,0.0,0.0,1.9999998779296875,3.999999755859375,-0.0724439070392008,-0.019390019247430352,-0.08165843893007653,0.10014551099518315,-0.003979713050298956,3.999999755859375,0.0,0.0,0.0
DNg97,25.499998443603516,44.999997253417966,24.24999851989746,45.49999722290039,1.2499999237060564,-0.499999969482424,0.0770441157080458,0.054656627780355474,0.19702719069045216,0.09197085035486978,0.05326874157376824,29.49999819946289,21.499998687744142,15.9999990234375,32.499998016357424
DNb01,0.9999999389648437,1.9999998779296875,0.24999998474121093,0.49999996948242187,0.7499999542236329,1.4999999084472657,-0.05036680322789949,-0.041052973779289126,-0.032883330532592465,-0.032284235357511876,-0.056299784006033186,0.9999999389648437,0.9999999389648437,0.49999996948242187,0.0
DNp09,0.24999998474121093,0.49999996948242187,0.0,0.0,0.24999998474121093,0.49999996948242187,0.02002349865243462,0.021000006453125098,0.030198049058285343,0.0239699166060477,0.038495905032897584,0.0,0.49999996948242187,0.0,0.0
DNp06,0.24999998474121093,0.49999996948242187,0.0,0.0,0.24999998474121093,0.49999996948242187,-0.018542368321057726,0.019503587864406896,0.03111131617095552,-0.042271970717701314,-0.013920356076885486,0.49999996948242187,0.0,0.0,0.0
DNp69,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0
DNpe031,2.624999839782715,5.24999967956543,2.874999824523926,5.749999649047852,-0.2499999847412111,-0.4999999694824222,-0.012003251422910323,0.005866808513896456,-0.014996068039646447,0.06925649895275465,-0.006129724597427095,4.499999725341797,0.7499999542236329,0.0,5.749999649047852
DNp43,0.49999996948242187,0.9999999389648437,1.4999999084472657,2.9999998168945314,-0.9999999389648438,-1.9999998779296877,-0.026287074100355225,0.031914192782646594,-0.036954258285070825,0.04525900241332796,0.0014419747134191121,0.9999999389648437,0.0,0.0,2.9999998168945314
DNp35,1.7499998931884766,2.4999998474121092,4.499999725341797,7.99999951171875,-2.7499998321533203,-5.499999664306641,-0.08359576214167244,-0.03784957893330975,-0.035883429238933125,-0.06432120502101293,-0.024459823678545742,2.9999998168945314,0.49999996948242187,8.499999481201172,0.49999996948242187
DNp103,22.499998626708983,39.99999755859375,26.24999839782715,46.49999716186523,-3.7499997711181656,-6.499999603271483,0.06554477756672479,0.051562626146335735,0.14673850024612986,-0.006339727797996586,-0.049362907001152305,23.499998565673827,21.499998687744142,25.999998413085937,26.49999838256836
DNb09,14.999999084472655,29.99999816894531,22.499998626708983,41.99999743652344,-7.499999542236328,-11.999999267578126,-0.03670665032110693,0.0134856473515629,-0.03358704020188574,-0.15879524939765263,-0.0006592276752016503,5.499999664306641,24.499998504638672,26.49999838256836,18.49999887084961
DNp18,23.74999855041504,45.49999722290039,31.749998062133788,60.499996307373046,-7.999999511718748,-14.999999084472655,0.15198755545605452,0.044155467305134075,0.2677104288393949,-0.14579636327045042,-0.04977129177812233,22.499998626708983,24.999998474121092,33.99999792480469,29.49999819946289
