window_ms,candidate_label,left_dark_right_minus_left_rate_hz,center_dark_right_minus_left_rate_hz,right_dark_right_minus_left_rate_hz,left_dark_right_minus_left_voltage_mv,center_dark_right_minus_left_voltage_mv,right_dark_right_minus_left_voltage_mv,bilateral_mean_rate_hz,bilateral_mean_voltage_mv,turn_flip_rate_score,turn_flip_voltage_score,pair_score
100.0,DNp09,-10.0,-10.0,-20.0,-19.94464874267578,-41.757328033447266,-39.245849609375,6.666666666666667,-69.45684878031413,0.0,0.0,1166.0
100.0,DNp35,-10.0,0.0,0.0,-45.34193420410156,-30.4735107421875,-41.08032989501953,18.333333333333332,-99.20418930053711,0.0,0.0,617.0
100.0,DNp06,0.0,-10.0,10.0,5.122169494628906,-1.5092277526855469,0.8035087585449219,53.333333333333336,-61.69003931681315,0.0,0.0,592.0
100.0,DNpe031,-20.0,-10.0,-10.0,-1.1861858367919922,-0.031232833862304688,0.4082012176513672,46.666666666666664,-50.198767026265465,0.0,0.4082012176513672,542.0
100.0,DNb01,20.0,50.0,50.0,-0.4914588928222656,4.794979095458984,3.710376739501953,53.333333333333336,-51.765965143839516,0.0,0.4914588928222656,519.0
100.0,DNp71,-40.0,0.0,10.0,-1.3130912780761719,0.5784339904785156,-2.152179718017578,58.333333333333336,-50.76981544494629,10.0,0.0,398.0
100.0,DNb09,-30.0,-20.0,-20.0,-1.1078720092773438,0.06924819946289062,-0.2598114013671875,28.333333333333332,-51.98778851826986,0.0,0.0,371.0
100.0,DNp103,10.0,0.0,0.0,0.18030929565429688,-0.15668869018554688,-0.021396636962890625,141.66666666666666,-51.05792681376139,0.0,0.021396636962890625,365.0
100.0,DNp43,-40.0,-20.0,-10.0,-21.48807144165039,-16.798683166503906,-13.492134094238281,11.666666666666666,-62.61448605855306,0.0,0.0,327.0
100.0,DNg97,20.0,10.0,50.0,3.740863800048828,-0.175018310546875,3.9876365661621094,50.0,-54.63788604736328,0.0,0.0,325.0
100.0,DNp18,20.0,20.0,20.0,1.0524787902832031,0.3174247741699219,-0.35733795166015625,73.33333333333333,-51.014347076416016,0.0,0.35733795166015625,320.0
100.0,DNpe056,40.0,30.0,-20.0,-1.1288833618164062,0.24078369140625,-0.21537399291992188,85.0,-50.33595848083496,20.0,0.0,290.0
100.0,DNae002,60.0,60.0,60.0,5.960720062255859,5.614330291748047,4.388420104980469,56.666666666666664,-55.161364237467446,0.0,0.0,280.0
100.0,DNpe040,-10.0,-10.0,10.0,-0.09607696533203125,-0.30558013916015625,0.01554107666015625,61.666666666666664,-50.147605895996094,10.0,0.01554107666015625,265.0
100.0,DNpe016,60.0,60.0,70.0,-0.5625648498535156,1.8049430847167969,3.4780235290527344,41.666666666666664,-52.4551804860433,0.0,0.5625648498535156,260.0
100.0,DNp69,0.0,0.0,0.0,-22.903106689453125,-27.04180145263672,-20.517982482910156,0.0,-101.31276448567708,0.0,0.0,215.0
500.0,DNp09,-18.0,-14.0,-14.0,-36.44512939453125,-55.69633483886719,-52.20470428466797,7.666666666666667,-75.57995986938477,0.0,0.0,1166.0
500.0,DNp35,-2.0,0.0,0.0,-75.85929870605469,-71.23461151123047,-76.5538558959961,3.6666666666666665,-133.6013387044271,0.0,0.0,617.0
500.0,DNp06,2.0,16.0,26.0,-5.54254150390625,7.714237213134766,11.609760284423828,27.333333333333332,-64.80934270222981,0.0,5.54254150390625,592.0
500.0,DNpe031,-29.0,-15.0,-17.0,-0.014257431030273438,0.2689476013183594,0.14053726196289062,55.5,-49.68698215484619,0.0,0.014257431030273438,542.0
500.0,DNb01,16.0,50.0,46.0,-0.052448272705078125,2.456867218017578,3.3615798950195312,54.0,-51.73522694905599,0.0,0.052448272705078125,519.0
500.0,DNp71,-40.0,-2.0,6.0,-1.5409393310546875,-0.333831787109375,-0.7461357116699219,61.333333333333336,-51.00167655944824,6.0,0.0,398.0
500.0,DNb09,-12.0,2.0,-12.0,-5.891979217529297,0.4461402893066406,0.7393264770507812,22.333333333333332,-52.67076873779297,0.0,0.7393264770507812,371.0
500.0,DNp103,-4.0,0.0,2.0,-0.022190093994140625,-0.10486984252929688,-0.028606414794921875,157.0,-50.83033561706543,2.0,0.0,365.0
500.0,DNp43,-34.0,-32.0,-10.0,-33.214378356933594,-23.71906280517578,-23.067241668701172,12.666666666666666,-66.38076337178548,0.0,0.0,327.0
500.0,DNg97,8.0,14.0,18.0,2.0976524353027344,0.3349876403808594,2.8595352172851562,62.666666666666664,-54.73613739013672,0.0,0.0,325.0
500.0,DNp18,36.0,18.0,20.0,0.6810073852539062,-0.3555564880371094,-0.3061637878417969,82.33333333333333,-51.0154660542806,0.0,0.3061637878417969,320.0
500.0,DNpe056,24.0,-8.0,-28.0,-0.9929046630859375,-0.36994171142578125,-0.05654144287109375,87.33333333333333,-50.19675318400065,24.0,0.0,290.0
500.0,DNae002,72.0,46.0,56.0,9.910717010498047,10.025375366210938,6.9990081787109375,42.333333333333336,-58.34506797790527,0.0,0.0,280.0
500.0,DNpe040,-4.0,4.0,10.0,-0.10500335693359375,-0.14641189575195312,-0.14764022827148438,77.66666666666667,-49.8739013671875,4.0,0.0,265.0
500.0,DNpe016,40.0,70.0,60.0,0.3745765686035156,2.94891357421875,3.769519805908203,55.0,-52.376328786214195,0.0,0.0,260.0
500.0,DNp69,0.0,0.0,0.0,-30.45653533935547,-39.77476501464844,-36.07441711425781,0.0,-135.6672019958496,0.0,0.0,215.0
