run,metric,baseline_value,multidrive_value,delta
target,avg_forward_speed,4.924057440740504,4.415297537302404,-0.5087599034380998
target,net_displacement,5.758268822981613,5.546298802012086,-0.21197002096952655
target,displacement_efficiency,0.5852930154862924,0.6287062882807148,0.04341327279442242
target,mean_total_drive,0.495721255471884,0.4707870808763767,-0.024934174595507286
target,mean_abs_drive_diff,0.23135474418690488,0.22459890649705896,-0.006755837689845917
target,corr_drive_diff_vs_target_bearing,0.8809889705757767,0.848057435148708,-0.032931535427068725
target,steer_sign_match_rate,0.8877551020408163,0.9031281533804238,0.015373051339607535
target,corr_total_drive_vs_target_frontalness,0.46342475397781535,0.5212442764784544,0.05781952250063904
no_target,avg_forward_speed,3.907028380353221,4.650604531957434,0.7435761516042132
no_target,net_displacement,5.29025073410087,6.751026944282977,1.4607762101821065
no_target,displacement_efficiency,0.6776948827669508,0.7265490628771702,0.04885418011021947
no_target,mean_total_drive,0.4424820589556034,0.5247491414222913,0.08226708246668796
no_target,mean_abs_drive_diff,0.10450359625365861,0.10165815759672568,-0.0028454386569329304
zero_brain,avg_forward_speed,0.18465096971869335,0.5930665447865197,0.40841557506782633
zero_brain,net_displacement,0.011823383234191902,0.016680726595983866,0.0048573433617919645
zero_brain,displacement_efficiency,0.0320475393946615,0.01407719265804673,-0.017970346736614767
zero_brain,mean_total_drive,0.0,0.0,0.0
zero_brain,mean_abs_drive_diff,0.0,0.0,0.0
