window_ms,condition,cell_type,side,mean_rate_hz,mean_voltage_mv,mean_conductance
500.0,baseline_gray,LC31a,left,0.0,-52.0,0.0
500.0,baseline_gray,LC31a,right,0.0,-52.0,0.0
500.0,baseline_gray,LC31b,left,0.0,-52.0,0.0
500.0,baseline_gray,LC31b,right,0.0,-52.0,0.0
500.0,baseline_gray,LC19,left,0.0,-52.0,0.0
500.0,baseline_gray,LC19,right,0.0,-52.0,0.0
500.0,baseline_gray,LCe06,left,0.0,-52.0,0.0
500.0,baseline_gray,LCe06,right,0.0,-52.0,0.0
500.0,baseline_gray,LT82a,left,0.0,-52.0,0.0
500.0,baseline_gray,LT82a,right,0.0,-52.0,0.0
500.0,baseline_gray,LCe04,left,0.0,-52.0,0.0
500.0,baseline_gray,LCe04,right,0.0,-52.0,0.0
500.0,body_left_dark,LC31a,left,0.0,-52.208176930745445,-0.19825528525850838
500.0,body_left_dark,LC31a,right,0.0,-52.47123067519244,-0.39005256729090915
500.0,body_left_dark,LC31b,left,0.8421052932739258,-51.78309631347656,0.21435514390468596
500.0,body_left_dark,LC31b,right,0.8421052932739258,-51.894202423095706,0.1596950873732567
500.0,body_left_dark,LC19,left,0.0,-52.57716751098633,-0.3151178387925029
500.0,body_left_dark,LC19,right,0.0,-52.74829991658529,-0.5249398462474346
500.0,body_left_dark,LCe06,left,1.6842105865478516,-51.85429306030274,0.32833682298660277
500.0,body_left_dark,LCe06,right,1.4035088221232097,-51.821725845336914,0.22755308697621027
500.0,body_left_dark,LT82a,left,1.0526316165924072,-51.79239273071289,0.1904711276292801
500.0,body_left_dark,LT82a,right,1.0526316165924072,-52.14927864074707,-0.11557665467262268
500.0,body_left_dark,LCe04,left,0.0,-52.06765906016032,-0.05617848131805658
500.0,body_left_dark,LCe04,right,0.0,-52.03932523727417,-0.055130395223386586
500.0,body_center_dark,LC31a,left,0.0,-52.20973247951932,-0.22841615747246477
500.0,body_center_dark,LC31a,right,0.0,-52.438784431008735,-0.36707520322285264
500.0,body_center_dark,LC31b,left,0.4210526466369629,-51.86171340942383,0.13021327629685403
500.0,body_center_dark,LC31b,right,0.4210526466369629,-52.066776275634766,-0.05247507272288203
500.0,body_center_dark,LC19,left,0.0,-52.82104825973511,-0.6057410459034145
500.0,body_center_dark,LC19,right,0.0,-52.79146512349447,-0.6138081612686316
500.0,body_center_dark,LCe06,left,1.6842105865478516,-51.89353256225586,0.2878013253211975
500.0,body_center_dark,LCe06,right,1.754386027654012,-51.83490308125814,0.267816203335921
500.0,body_center_dark,LT82a,left,2.1052632331848145,-51.85673904418945,0.22485167905688286
500.0,body_center_dark,LT82a,right,1.0526316165924072,-52.22708702087402,-0.20137929171323776
500.0,body_center_dark,LCe04,left,0.0,-52.07939751942953,-0.06805225019343197
500.0,body_center_dark,LCe04,right,0.0,-52.053154945373535,-0.06561392948788125
500.0,body_right_dark,LC31a,left,0.0,-52.19344859653049,-0.19754934621353945
500.0,body_right_dark,LC31a,right,0.0,-52.39929333855124,-0.323258049238254
500.0,body_right_dark,LC31b,left,1.2631579399108888,-51.8185531616211,0.21886973679065705
500.0,body_right_dark,LC31b,right,0.4210526466369629,-51.82684860229492,0.13145267087966203
500.0,body_right_dark,LC19,left,0.0,-52.919405460357666,-0.7086720801889896
500.0,body_right_dark,LC19,right,0.0,-52.571285247802734,-0.47780854379137355
500.0,body_right_dark,LCe06,left,0.8421052932739258,-51.96317596435547,0.08671868890523911
500.0,body_right_dark,LCe06,right,0.7017544110616049,-51.83135414123535,0.2087118128935496
500.0,body_right_dark,LT82a,left,0.0,-52.0591983795166,-0.04965415224432945
500.0,body_right_dark,LT82a,right,1.0526316165924072,-52.62542152404785,-0.552316177636385
500.0,body_right_dark,LCe04,left,0.0,-52.062228520711265,-0.04669298650696874
500.0,body_right_dark,LCe04,right,0.0,-52.0768609046936,-0.06449488055659458
