score,signal_smoothing_alpha,forward_gain,turn_gain,population_forward_weight,population_turn_weight,forward_asymmetry_turn_gain,steer_bearing_corr,steer_sign_match_rate,forward_frontal_corr,mean_abs_drive_diff,mean_total_drive,no_target_mean_abs_drive_diff,no_target_mean_total_drive,delta_abs_drive_diff,delta_total_drive
1.001046102352641,0.06,1.2,0.65,1.0,0.75,0.3,0.5448456829768005,0.6793032786885246,0.2836515815675761,0.13523283218133111,0.5295815157037028,0.11668264208252795,0.5103466395376522,0.018550190098803168,0.019234876166050574
0.9986792220691584,0.06,1.1,0.65,1.0,0.75,0.3,0.5448456829768005,0.6793032786885246,0.283651581567576,0.13523283218133111,0.4854497227283944,0.11668264208252795,0.4678177529095147,0.018550190098803168,0.017631969818879656
0.9983948221621957,0.06,1.2,0.55,1.0,0.75,0.3,0.5448456829768005,0.6793032786885246,0.2836515815675761,0.11442778107651094,0.5295815157037028,0.09873146637752367,0.5103466395376522,0.015696314698987274,0.019234876166050574
0.9983070371351237,0.06,1.2,0.65,1.1,0.75,0.3,0.5448456829768005,0.6793032786885246,0.26798163950925297,0.13523283218133111,0.55570878471472,0.11668264208252795,0.5377533400835406,0.018550190098803168,0.017955444631179374
0.9963123417856758,0.06,1.0,0.65,1.0,0.75,0.3,0.5448456829768005,0.6793032786885246,0.28365158156757614,0.13523283218133111,0.4413179297530858,0.11668264208252795,0.42528886628137696,0.018550190098803168,0.01602906347170885
0.9960279418787131,0.06,1.1,0.55,1.0,0.75,0.3,0.5448456829768005,0.6793032786885246,0.283651581567576,0.11442778107651094,0.4854497227283944,0.09873146637752367,0.4678177529095147,0.015696314698987274,0.017631969818879656
0.9958419551602192,0.06,1.1,0.65,1.1,0.75,0.3,0.5448456829768005,0.6793032786885246,0.26798163950925286,0.13523283218133111,0.5093997193218267,0.11668264208252795,0.4929405617432456,0.018550190098803168,0.01645915757858113
0.9957435419717505,0.06,1.2,0.45,1.0,0.75,0.3,0.5448456829768005,0.6793032786885246,0.2836515815675761,0.09362272997169077,0.5295815157037028,0.08078029067251935,0.5103466395376522,0.012842439299171421,0.019234876166050574
0.9956557569446784,0.06,1.2,0.55,1.1,0.75,0.3,0.5448456829768005,0.6793032786885246,0.26798163950925297,0.11442778107651094,0.55570878471472,0.09873146637752367,0.5377533400835406,0.015696314698987274,0.017955444631179374
0.9947538646116885,0.06,1.2,0.65,1.25,0.75,0.3,0.5448456829768005,0.6793032786885246,0.24734887657789767,0.13523283218133111,0.5930072077163973,0.11668264208252795,0.5776507924920214,0.018550190098803168,0.015356415224375808
0.9940041108970566,0.06,1.2,0.65,1.4,0.75,0.3,0.5448456829768005,0.6793032786885246,0.24287552576513408,0.13523283218133111,0.6015725943496283,0.11668264208252795,0.5868130325562783,0.018550190098803168,0.014759561793350029
0.9940041108970566,0.06,1.2,0.65,1.6,0.75,0.3,0.5448456829768005,0.6793032786885246,0.24287552576513408,0.13523283218133111,0.6015725943496283,0.11668264208252795,0.5868130325562783,0.018550190098803168,0.014759561793350029
0.9936610615952306,0.06,1.0,0.55,1.0,0.75,0.3,0.5448456829768005,0.6793032786885246,0.28365158156757614,0.11442778107651094,0.4413179297530858,0.09873146637752367,0.42528886628137696,0.015696314698987274,0.01602906347170885
0.9933768731853148,0.06,1.0,0.65,1.1,0.75,0.3,0.5448456829768005,0.6793032786885246,0.26798163950925286,0.13523283218133111,0.4630906539289334,0.11668264208252795,0.4481277834029505,0.018550190098803168,0.014962870525982885
0.993376661688268,0.06,1.1,0.45,1.0,0.75,0.3,0.5448456829768005,0.6793032786885246,0.283651581567576,0.09362272997169077,0.4854497227283944,0.08078029067251935,0.4678177529095147,0.012842439299171421,0.017631969818879656
0.993190674969774,0.06,1.1,0.55,1.1,0.75,0.3,0.5448456829768005,0.6793032786885246,0.26798163950925286,0.11442778107651094,0.5093997193218267,0.09873146637752367,0.4929405617432456,0.015696314698987274,0.01645915757858113
0.9930044767542333,0.06,1.2,0.45,1.1,0.75,0.3,0.5448456829768005,0.6793032786885246,0.26798163950925297,0.09362272997169077,0.55570878471472,0.08078029067251935,0.5377533400835406,0.012842439299171421,0.017955444631179374
0.9927966880690903,0.06,1.2,0.65,1.0,0.75,0.2,0.5436151750789006,0.6659836065573771,0.2836515815675761,0.13216627875094925,0.5295815157037028,0.1138781635373401,0.5103466395376522,0.018288115213609152,0.019234876166050574
0.9923341633203042,0.06,1.2,0.65,1.0,0.75,0.1,0.5435680939457485,0.6659836065573771,0.2836515815675761,0.12895447903829543,0.5295815157037028,0.11113768204652877,0.5103466395376522,0.017816796991766665,0.019234876166050574
0.9921550311193337,0.06,1.1,0.65,1.25,0.75,0.3,0.5448456829768005,0.6793032786885246,0.2473488765778977,0.13523283218133111,0.5435899404066977,0.11668264208252795,0.5295132264510197,0.018550190098803168,0.014076713955678
0.9921140495661271,0.06,1.2,0.65,1.0,0.75,0.0,0.5428516459593498,0.6680327868852459,0.2836515815675761,0.12574365112044722,0.5295815157037028,0.1089627198283205,0.5103466395376522,0.016780931292126725,0.019234876166050574
0.9921025844212431,0.06,1.2,0.55,1.25,0.75,0.3,0.5448456829768005,0.6793032786885246,0.24734887657789767,0.11442778107651094,0.5930072077163973,0.09873146637752367,0.5776507924920214,0.015696314698987274,0.015356415224375808
0.9917475723796909,0.06,1.2,0.65,1.0,0.75,0.05,0.5432203441221676,0.6659836065573771,0.2836515815675761,0.12737074838351997,0.5295815157037028,0.10995629164952744,0.5103466395376522,0.017414456733992528,0.019234876166050574
0.9913745620723219,0.06,1.1,0.65,1.4,0.75,0.3,0.5448456829768005,0.6793032786885246,0.24287552576513408,0.13523283218133111,0.5514415448204927,0.11668264208252795,0.5379119465099218,0.018550190098803168,0.013529598310570878
0.9913745620723219,0.06,1.1,0.65,1.6,0.75,0.3,0.5448456829768005,0.6793032786885246,0.24287552576513408,0.13523283218133111,0.5514415448204927,0.11668264208252795,0.5379119465099218,0.018550190098803168,0.013529598310570878
